id,affinity
2zdm,6.41
2wvz,4.02
3hf8,6.51
6eis,6.6
1iiq,7.48
4b9k,6.17
4j7e,4.85
3lea,9.1
2c80,5.33
4ad2,6.2
2f1g,7.54
6b4u,7.68
6aro,5.15
3wtm,7.0
6i14,5.82
1y20,5.32
4rd3,6.47
1j01,6.47
2qci,8.34
3gr2,2.52
4ih5,4.11
5edb,7.0
1tmn,7.3
3t09,3.8
1jsv,5.7
5yft,5.0
2vqt,6.0
4og3,6.55
6mg5,4.69
6dq4,4.92
4hdf,8.49
3uo4,6.52
3f17,8.63
6stl,8.8
1g7q,6.06
3g1v,3.19
6d5e,6.85
3rlp,7.08
3qx5,4.2
3t8v,6.59
3u81,4.44
5zg1,7.72
2xb7,9.19
4b2i,3.0
2drc,9.89
4ucc,4.32
4np2,2.26
5d3j,5.24
5v79,6.41
2i4v,11.2
6fhk,7.51
4mrw,3.3
2q1q,8.15
4f5y,5.43
1hvh,7.96
4tkh,5.74
1bnu,9.7
6htg,7.17
3f8c,7.68
1ssq,6.0
4ko8,7.15
5lso,5.85
6f90,6.0
4uja,9.05
4m8e,7.89
5vcy,6.57
3sv2,4.19
5tmp,7.47
3b4p,5.4
3aaq,3.3
3fl5,7.28
3m36,9.82
1zea,5.22
6n3v,5.61
1g3d,5.55
1hbv,6.37
2qg0,5.72
4ag8,8.96
5ot8,4.2
6ixd,9.8
3i5z,8.7
3gkz,8.0
1sqa,9.21
3l0v,7.64
2fxu,8.15
2qrk,4.26
1rnm,3.07
1pdz,3.7
4owv,4.35
5orw,3.1
5ueu,7.78
2r0z,5.47
3bbf,5.28
3gi5,11.22
2aac,2.22
4oeu,7.66
5wqc,8.96
6p88,4.52
6h36,9.35
1ohr,8.7
3ok9,11.23
4fs4,6.57
4emr,7.49
5ehv,3.08
6ep4,5.35
4cd4,6.58
6qi4,4.37
4eo8,8.15
2y5g,6.84
3b27,5.16
4g0y,2.3
3v7x,8.57
5jq5,5.63
5nn5,5.47
1rjk,10.0
5h1v,4.0
1erb,8.1
5j8z,8.3
6jad,4.32
5sz5,7.7
3p9l,5.3
5hz5,7.07
1r9l,5.4
5i1q,7.92
2zz1,4.54
6h8s,4.42
5llg,11.13
6udt,10.0
2weo,6.93
5eu1,7.81
6e7u,6.92
2aqu,9.32
5nxg,8.55
4nbk,3.87
4m12,6.05
5c28,5.66
2bz6,7.09
1gpk,5.37
2pvh,6.59
5lyn,5.04
5dqe,3.63
6exi,5.05
4knm,8.0
4cmo,9.07
5kqx,8.44
5eh7,3.48
3p3g,9.74
2f34,6.89
1h2k,2.92
5nap,7.95
3r7o,8.36
5mek,5.38
5z5f,2.17
4gkh,4.67
1bnw,9.08
2h21,6.54
1nw5,5.21
1fm9,9.0
2r75,6.15
1nfx,8.52
2fpz,3.96
1k27,9.0
2p7a,6.1
4ymx,7.1
3t83,6.98
4fp1,4.57
3vfa,9.19
4k6i,6.2
5lli,7.05
4ajl,3.8
2olb,5.54
5g17,6.7
6cwn,6.65
185l,3.54
4rlt,4.96
4i7k,3.04
4y4j,2.47
2j77,4.89
5yz2,4.95
1hvs,10.3
1vyf,8.05
6g37,7.37
4i3z,4.29
1lzq,8.39
2pk5,10.7
5hrw,5.48
5j6l,7.89
2wq5,3.74
1ciz,7.44
5t9z,7.19
4hj2,2.53
4i74,6.72
2qm9,7.77
5jzi,4.8
3gsm,6.48
4d7b,7.68
5tt3,6.71
2zx8,9.64
1mu6,8.38
6ugr,6.27
1efy,8.22
2ypi,4.82
3djx,2.81
3pju,4.88
4i7m,4.14
2zq2,6.56
1gx8,6.37
1t5f,4.22
6fyz,7.41
5f9b,4.26
6pg9,4.92
5mjn,8.54
2wk6,3.32
1srg,5.3
5mlj,8.85
2zdk,6.37
5wyx,6.66
5ose,3.17
4oc2,8.28
5nk7,6.33
6dyv,10.59
5u49,6.14
5eqe,3.88
2xn5,6.69
1tpw,3.3
