id,affinity
3d8z,3.37
4u8w,11.24
3p3r,7.25
2qwe,7.48
2z94,5.85
2f35,5.4
4h7q,5.06
6jtc,5.07
6qe5,5.12
3ijh,4.0
1o0h,5.92
5tfx,7.22
1f4f,4.62
6dgr,4.91
1gno,7.7
4asj,7.55
3drf,7.0
3k2f,7.2
6pg7,4.66
2xyd,6.82
3ps1,10.17
5nk4,8.7
3qt6,5.37
4ruy,7.89
4e9u,5.82
3pxf,4.43
6gf9,6.39
6ma5,8.1
2yay,6.1
6pvw,6.32
4qge,9.3
2i4w,11.59
5n24,8.92
3nxq,8.15
6o0k,10.74
1d6v,6.17
2vwl,7.02
5flt,2.89
3v78,5.54
5een,8.96
4ddm,2.46
1mfa,5.04
5f61,7.46
5ih9,8.7
4msa,3.3
6dpy,4.1
1x8t,7.8
5op4,6.71
6hgj,4.38
4u71,5.22
2xg9,4.15
6qlt,4.04
2rk8,3.64
3oil,5.68
4d3h,6.43
5f2r,4.28
6u5y,7.16
1n46,10.52
4q4o,7.46
5os2,2.74
2uz9,5.71
6gon,5.67
4bcn,7.92
6ql2,7.77
3t0b,4.3
6om8,5.16
3ml5,8.52
2ymd,3.16
1ndy,6.17
1ghw,4.2
6hgg,5.42
3cft,4.19
3ip8,2.28
4b6p,7.13
5ix0,6.28
1fkh,8.15
4xo8,8.96
5bw4,4.17
5fov,2.8
2fqy,6.57
2baj,8.4
3u6i,9.0
5z7j,6.6
1gfy,5.08
3d1y,8.22
6jon,4.88
2y80,8.05
5orh,4.39
3w9k,6.32
3ejq,8.57
6gjm,3.58
2o4n,7.82
3el1,9.64
1q72,6.85
5x62,6.42
2rio,4.69
5d0c,5.63
2bak,7.43
6u8b,6.37
1c1r,7.63
1d3p,7.39
4re2,4.98
4jz1,6.7
6n3w,5.81
1h2t,7.89
5i80,7.21
4do5,5.83
5o87,6.61
6dyn,3.19
1hwr,8.33
2weh,5.95
4wt2,10.42
3f16,8.23
3dzt,7.22
3s8l,5.64
2ra0,7.8
2gsu,3.59
1bxq,7.38
6iht,5.21
5dw2,5.84
2r23,3.72
3b26,6.64
5m7s,9.05
6eqv,6.62
2ri9,3.22
1g2o,10.55
6hh5,4.27
2o0u,5.49
2a8g,3.69
2j62,11.34
3k8c,2.92
4m2w,7.28
3djq,2.98
4cr5,4.15
3qps,5.6
1z71,9.18
4d8z,6.29
4auj,7.74
2iuz,5.55
4nyf,7.31
3qtv,4.65
5gj9,4.99
6dh1,10.58
1nje,3.8
2y7i,5.54
1qf1,7.32
2bok,6.55
4llk,3.0
5g60,6.52
2uy5,5.49
6qr7,7.15
1bm7,7.52
1m2p,6.11
3m3x,6.82
5fsx,2.72
6ej3,5.93
2zb1,6.32
1loq,3.7
1igj,10.0
1ftm,7.61
3i73,5.49
4b5s,3.49
3exh,4.88
4agc,10.7
6md6,5.1
5ty9,5.21
1ucn,5.22
8cpa,9.15
3a5y,7.96
3t6b,6.36
4qyy,7.3
4a95,5.76
4uin,7.62
3tz0,5.04
6gj6,4.7
5vl2,8.42
4k18,8.96
3djo,4.39
6i0z,4.04
6pg4,3.59
4q83,4.19
6hni,4.03
4djy,8.27
6fui,4.46
6mub,7.0
4pin,5.4
1v2j,3.25
5g5z,5.66
5uln,7.85
5fnr,4.23
3o9d,10.72
2pcp,8.7
1g85,5.48
4qj0,7.32
1c5t,4.1
1uj5,3.05
6nv9,8.19
1w3l,6.28
6mln,7.54
6f05,4.47
5nkd,7.59
4ivd,9.52
2rkm,3.9
2wej,6.08
6qr9,6.72
6e5t,6.55
6iez,6.52
1nvr,8.11
1mu8,9.0
4q99,6.28
6c9v,6.92
1ew9,3.22
2fu8,4.7
4y79,7.96
5ehq,10.48
4x8o,6.6
3m67,6.74
1qbq,8.3
3kr8,8.1
1xws,8.0
1zc9,3.22
4u73,5.18
3zze,8.89
5duw,3.29
4b33,3.37
1m5w,4.27
1tlp,7.55
3dx2,6.82
6hza,9.3
5m77,7.61
4mc6,9.59
5e2k,8.03
3rz0,7.55
4ek9,4.42
4c6u,4.59
3ff3,3.57
4mo4,4.22
2qtg,5.08
3ubd,5.54
2v8w,6.82
5l7h,7.3
4knj,7.95
6det,8.22
1sl3,11.85
3k5v,6.3
1ft7,5.18
3ryy,7.42
1o2o,6.36
3zps,8.3
6p8a,3.59
5zaj,7.38
4f0c,6.27
6idb,6.4
6n95,5.12
1b9j,5.96
4zgk,5.51
4ljh,4.71
3uz5,7.22
4io2,6.7
1y3n,5.55
4azb,7.24
1n5r,5.66
3dc3,8.31
3o5n,4.76
6fh3,3.07
6cwh,7.54
