id,affinity
1hdq,5.82
3f3c,6.02
5vb6,6.37
4ago,4.81
3nb5,7.74
5gmn,4.73
5etj,10.18
3upv,5.3
3t8v,6.59
4gih,8.32
3mxe,10.01
5sz4,9.7
4jz1,6.7
3ap4,3.92
1b1h,7.03
1sqa,9.21
1m2r,6.46
2ctc,3.89
1q54,5.85
3lpl,5.62
4lm4,3.04
3m3z,5.73
2oxy,6.52
3ok9,11.23
2q38,5.23
5anv,9.3
6mln,7.54
5i9x,7.52
1k1n,6.82
5yz2,4.95
6qr4,6.23
4ban,8.61
5l9i,7.0
3f8c,7.68
4q7s,4.42
1xgi,4.85
4i7l,3.99
4mul,6.21
4ytc,7.89
6np2,6.8
4jfs,5.27
3a6t,7.28
3uxd,4.41
3tfu,3.28
2vvu,8.1
3hzv,6.52
4ryd,11.26
5vm0,8.8
2pym,6.82
2wvt,6.12
4cu8,4.47
3cj2,4.85
3n9s,5.26
2oi0,7.55
4io4,4.61
4dmw,4.94
3kjd,8.54
4p5d,5.82
4e3g,4.97
5vij,7.61
2nnd,6.06
1jlr,3.33
5mks,4.77
6hh5,4.27
4gg7,8.2
5kqy,9.29
5fho,6.67
5yyf,6.48
3wz8,5.82
3zze,8.89
3su2,7.35
2j7d,7.13
4o2c,8.0
5ew0,6.59
3gcs,7.25
5o07,7.47
3neo,5.92
5cp9,3.51
2qi4,10.44
3l0v,7.64
5eh7,3.48
2p16,10.1
2xjg,7.82
4r75,7.24
1j01,6.47
1o5g,4.96
1sdv,8.74
5wuk,7.85
2f35,5.4
6b4n,10.55
1c5t,4.1
5dgu,11.35
1elr,4.96
6n3w,5.81
5z7b,4.89
3ldp,5.62
5eh5,5.87
2xn3,5.92
4j47,4.92
5m25,8.19
5ih9,8.7
5ia2,7.72
1fkw,5.05
1w3k,4.3
5caq,8.57
4bqs,4.21
4yx4,5.97
1t5f,4.22
4dfg,11.74
3oil,5.68
5f2u,8.43
4k3n,7.96
5yqx,6.96
1pot,5.49
6gxq,7.1
2exm,4.11
4ynb,10.37
1b46,5.28
3ag9,8.05
3std,11.11
1d2e,6.0
3qfd,4.17
1o5b,5.77
3c4h,5.7
3nw3,6.49
3ozs,5.33
5uoo,8.85
5j1r,4.66
5dbm,6.46
5l4i,6.59
2y81,8.7
5efc,4.85
2wk6,3.32
5fe7,3.31
1wcq,6.26
3fuz,6.54
4qsu,2.0
3qfy,6.12
1qft,8.77
5eek,9.1
1thz,5.15
4ybk,7.82
5c2a,8.32
6ey8,5.81
3k2f,7.2
3gy7,4.52
6eqw,10.65
4ibc,2.98
3uri,9.0
6u8b,6.37
4hp0,6.12
3u90,4.62
4r4t,6.26
5f1r,6.0
5qa8,3.77
6rnt,2.37
1nhz,6.08
1fjs,9.96
4er1,6.62
4elh,8.09
2vjx,4.96
4do4,7.29
4gqr,3.96
2wkz,8.77
3lzz,3.84
4w9k,6.54
4jxs,4.74
4gkh,4.67
1iiq,7.48
1lnm,8.7
5i3x,8.1
3rdo,9.85
2yek,7.21
3lka,2.82
4q4p,6.39
4ujb,8.0
3dd8,7.85
4ljh,4.71
6cn5,7.7
1qbo,7.74
2o8h,7.6
4ivd,9.52
1e3v,4.34
2on6,6.76
5fnt,6.17
5op5,6.67
2rcb,6.79
4rrf,3.62
5dyo,10.21
3pwm,9.1
6gga,4.85
3hkt,5.39
5mpn,7.07
6hr2,7.0
6f9v,6.76
2cbz,3.93
2b7d,8.7
2cej,8.62
5i3y,9.4
4a4v,6.54
4r5a,8.7
3zk6,6.34
4o0x,7.17
5m77,7.61
3d91,9.15
5cks,5.51
6gla,7.57
3buf,3.1
5nxp,7.99
5ufp,7.37
3znr,7.44
3f70,4.85
2v88,4.09
4azi,7.45
1li2,4.04
3d7k,4.6
4uma,5.41
2e2p,4.74
2h3e,5.7
6upj,6.32
3myg,10.7
1sl3,11.85
1rmz,8.0
4uye,8.02
2zxd,5.22
3c56,7.89
4io7,3.68
1hvj,11.4
3hk1,6.17
4ca6,6.74
3v7x,8.57
5evz,6.57
3rux,9.28
1ai5,3.72
2ha2,4.66
3p2e,6.22
2cgr,7.28
2nsl,4.68
3roc,8.19
2p7a,6.1
6fyz,7.41
6ud2,10.21
6pgc,5.35
6dar,6.66
2hxm,5.22
1moq,3.46
1os5,6.85
5ohy,5.17
1f4g,6.48
1tnh,3.37
4rqv,5.05
4k9y,6.95
6mub,7.0
2vsl,8.4
6hq7,6.11
5qay,3.23
4keq,3.82
2xef,9.84
2euk,6.6
1o2q,7.68
4aji,3.55
5tya,4.48
1mmq,7.52
1vyg,8.0
5j82,6.0
1qbu,10.24
6gl8,8.61
3pce,2.0
3tvc,7.74
4ca5,9.39
1qy1,6.52
1bwb,8.42
1s38,5.15
3ppp,5.22
5aa9,8.19
2v95,8.3
4cpz,7.68
6mja,7.85
5vc4,7.36
4k6i,6.2
4z0k,6.34
1kmy,5.1
1amw,4.54
5b5f,5.25
3mmf,7.43
2uwl,8.4
6epy,6.46
4nyf,7.31
6cdl,10.92
3imc,2.96
3b3c,3.98
5kej,5.11
3buh,3.66
4ddk,2.29
2zjw,7.7
4je7,6.4
2f1g,7.54
2xn5,6.69
2qpu,3.6
5sz2,8.7
5bv3,7.17
2hzl,6.57
6ma3,8.3
6jam,5.23
6hgr,3.46
6gw4,5.92
6c7x,7.19
1qin,8.0
3cft,4.19
2r5a,2.6
4yho,10.74
4hws,9.1
3sug,6.21
4r76,7.85
3f5j,4.28
5hrw,5.48
2xm1,5.07
1pxn,7.15
2qta,5.76
6cq1,3.66
1rtf,3.04
2e94,8.0
4dko,6.52
1dhi,7.26
4b3c,2.68
4i72,9.05
4p3h,6.0
4ih3,4.82
1b6h,7.82
5lyr,7.89
5d3t,4.92
6fmc,5.88
5qtt,8.47
5isz,4.49
5mo8,5.79
2x00,11.33
4ejl,5.14
4i9u,3.86
3hzm,5.52
5e2k,8.03
1sdu,10.07
1laf,7.85
4b1j,7.3
3nim,4.75
4pow,6.3
4nxv,5.42
2qm9,7.77
3dsz,7.77
5nya,6.38
2j75,6.65
5g5z,5.66
5nap,7.95
4kn0,7.4
2ptz,7.82
5g5f,5.28
4unp,3.23
3fjg,3.73
4abf,4.62
2pqc,5.74
1n4h,6.55
4fai,6.99
1owe,6.2
6ggf,5.39
2boh,8.52
1o33,5.74
2p95,9.37
6abx,2.14
5t7s,4.1
2x96,4.03
4mss,6.4
5c8n,7.55
1cps,6.66
4crl,9.71
5yft,5.0
4bi7,4.58
1ivp,7.52
4m7j,6.11
4g95,7.61
4rfm,10.05
3bl1,5.6
5ant,6.36
6e5l,7.18
5aol,2.32
1ik4,7.41
5itp,5.0
6gxb,7.46
5c3p,4.46
4ek9,4.42
5zvw,8.62
3upk,4.3
6qqu,5.3
5cso,6.03
5cbm,7.77
4l4v,5.78
6d5h,6.92
4nue,6.82
5fls,3.04
4ivc,10.0
6p3v,7.02
1d4l,8.77
6ml9,5.3
5ljq,9.0
1o30,6.77
1lpz,7.6
3mhi,6.7
3ryz,8.62
1v2l,4.29
4cws,7.92
2w08,3.42
3hcm,3.3
5lso,5.85
6st0,5.13
4rqk,5.82
1olx,4.33
4k18,8.96
1gi7,4.51
5t9z,7.19
5u0d,4.54
5llg,11.13
4zo5,9.82
6mlo,6.1
1a4k,8.0
2j94,6.27
3l4w,6.0
2rkf,9.08
2c3l,5.07
1j16,3.84
3pcg,2.3
6g3a,8.38
2r23,3.72
3si4,3.88
3hig,7.89
1lf2,7.52
5nlk,7.46
3iog,5.52
2jgs,6.62
6eif,6.98
4re2,4.98
1q72,6.85
2aqu,9.32
1cgl,6.87
1kzn,8.92
5l4j,4.28
4gzp,7.84
4n6g,5.47
2a5c,4.62
5k0h,7.09
3ozj,5.11
6dh6,9.93
3veh,4.96
1x8r,6.12
6fnf,7.89
5cu4,6.49
6dyz,9.2
4uyf,7.6
3ekt,10.59
2vh0,8.51
2pcp,8.7
1vso,4.72
1ta6,9.13
5j8m,6.8
3kmx,4.82
6bm5,5.84
5h1t,3.8
3p3s,7.59
2zq2,6.56
3suv,4.55
1h6h,5.3
4e70,5.28
1mfi,5.59
3d83,8.36
4ngp,7.96
6stl,8.8
1kjr,6.06
5ndf,5.85
4q87,4.85
3up2,7.4
1zoe,7.4
3coy,6.02
5fol,3.67
3nuo,9.8
3k1j,6.4
1sb1,6.89
4q8y,2.64
1d9i,9.11
6gf9,6.39
4qll,3.38
1hi5,4.04
1oe8,5.52
1w4o,5.22
4fnn,7.57
6r8o,8.22
2vc9,8.44
2yaz,5.14
3huc,5.99
2izl,6.0
1m7i,5.4
5v79,6.41
2oiq,5.0
6ftp,5.82
1mq6,11.15
4qrh,5.15
2ccc,7.76
6gue,8.4
3tsk,7.17
1c87,4.2
6o5u,4.38
4qev,7.66
5mkr,4.77
4zb6,6.28
2reg,5.64
3f68,5.06
3p17,4.48
6ecz,6.57
5ttw,5.96
6qe0,4.6
6fba,4.7
2nsj,4.79
6qlr,4.82
1gvw,6.96
6ayq,8.19
5eqp,5.4
4lxd,7.23
1rd4,7.74
5ehr,7.14
1k4h,5.11
5g61,6.4
6nwl,7.37
5tkk,8.28
4z07,7.99
1kyv,5.92
2fgv,6.12
2d0k,5.02
3hp9,4.59
3vfa,9.19
6cpw,8.25
4da5,6.44
4gr0,9.55
3u81,4.44
4tmk,7.7
4ad6,4.78
4agp,4.69
4kzu,6.5
1owh,7.4
3gi5,11.22
5fpk,3.55
6r4k,5.07
6ma2,5.39
3k02,5.0
5nkd,7.59
2fgu,9.18
5dkn,3.69
4xoc,8.52
5u49,6.14
3n7a,3.7
2q8m,4.03
5wlo,10.82
4bks,3.82
3arp,7.15
2gkl,5.35
6gxg,5.24
2y7i,5.54
7std,10.72
3tb6,5.08
6o0m,9.34
1nm6,10.05
5i88,6.6
2jke,4.23
6g2e,5.01
1bzj,4.66
6f20,4.31
3mhm,7.0
4ezz,5.19
1km3,4.91
3o8p,6.46
6dj2,8.12
1qf0,7.38
4ddm,2.46
4zji,6.47
1e5j,4.0
5b5g,5.25
4gii,8.74
5t8o,6.51
4kz4,4.15
5j41,3.7
5ouh,5.67
1c1r,7.63
5avf,5.49
3sk2,3.61
4d7b,7.68
6ays,9.19
4rlu,4.82
1bcd,8.7
1g36,7.17
6r8l,6.17
2v3u,3.0
5ovv,4.48
5nk2,6.74
2xhm,6.8
6pia,4.96
2q63,7.18
1lpk,7.55
6nxz,5.46
1cbx,6.35
3lzs,10.96
2d3u,6.92
2f7p,6.6
1usk,6.4
5am7,7.19
5f1x,6.11
1y0l,9.0
5vb7,6.72
2brm,5.89
2vw1,3.52
5tb6,5.82
1o3d,7.13
2cet,8.02
2r3t,5.85
4j3l,7.8
3mi2,7.77
4q3t,6.48
5a81,5.54
5nw2,6.49
6qr2,5.49
6e7u,6.92
1mu6,8.38
1ghw,4.2
1cnx,7.37
3gjw,8.3
4r4o,5.82
5f8y,4.24
3dx3,6.52
2xm2,4.62
4bt4,3.34
6pg3,3.32
3b5r,8.77
1bma,4.59
6fuh,3.77
4x24,9.78
2x4z,8.57
1drv,6.54
3r4m,5.92
1tmn,7.3
5hwv,5.07
1jys,3.52
1kav,5.82
5eei,9.22
2hah,8.0
6jof,4.98
1pme,9.4
5fns,5.4
3uyr,6.9
1s39,7.7
4b6p,7.13
1v2j,3.25
3t09,3.8
1s89,5.24
3fcq,2.77
1fzq,7.62
1o5c,5.22
3bl0,6.92
6nzv,10.17
2r9x,4.85
3u92,7.48
2pv1,7.14
5osl,3.43
6evr,8.06
6cdp,8.79
